ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.518541,6.492225,4.609297,4.590704,15.99072,0.2754334,2.860112,13.8196,,NONE
-1,6.51854,6.492223,4.609298,4.590703,15.99072,0.2754328,2.857726,13.90608,,NONE
-1,6.51854,6.492222,4.609298,4.590703,15.99072,0.2754334,2.85474,14.01424,,NONE
-1,6.518543,6.492223,4.609297,4.590704,15.99072,0.2754321,2.852316,14.10203,,NONE
-1,6.518538,6.492224,4.609296,4.590705,15.99072,0.2754329,2.849561,14.20173,,NONE
-1,6.518544,6.492223,4.609297,4.590704,15.99072,0.2754334,2.845895,14.33437,,NONE
-1,6.518544,6.492223,4.609297,4.590704,15.99072,0.2754335,2.843991,14.40318,,NONE
-1,6.518548,6.492221,4.609298,4.590703,15.99072,0.2754329,2.841012,14.51083,,NONE
-1,6.518544,6.492221,4.609297,4.590704,15.99072,0.275433,2.838061,14.61745,,NONE
-1,6.518548,6.492216,4.609298,4.590703,15.99072,0.2754321,2.835639,14.70493,,NONE
-1,6.518545,6.492218,4.609297,4.590704,15.99072,0.275433,2.832654,14.81265,,NONE
-1,6.518547,6.492219,4.609296,4.590705,15.99072,0.2754328,2.830207,14.90089,,NONE
-1,6.518546,6.492218,4.609297,4.590704,15.99072,0.2754327,2.827305,15.00553,,NONE
