ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
18.14418,7.275409,5.627807,5.186319,4.100169,-36.62343,0.2792185,-38.42067,16.60044,,LEFT_ACCELERATE
-1,8.328522,4.545911,5.703726,3.692921,-35.17733,0.2792054,-38.88799,16.70322,,LEFT_ACCELERATE
-1,9.15824,3.793232,6.231436,3.190926,-33.73923,0.2791873,-39.16891,16.80195,,LEFT_ACCELERATE
-1,9.479212,3.316033,6.658883,2.691241,-32.26423,0.2791726,-39.39022,16.90212,,LEFT_ACCELERATE
-1,9.331032,3.1331,6.902291,2.342342,-30.81836,0.279163,-39.63294,17.00059,,RIGHT_ACCELERATE
-1,8.752748,3.44487,6.985384,2.215548,-29.35878,0.2791704,-39.9638,17.10119,,RIGHT_ACCELERATE
-1,7.936742,4.701231,6.904214,2.404249,-27.96591,0.2791739,-40.43204,17.2,,RIGHT_ACCELERATE
18.62584,7.270081,6.275084,6.651695,2.815152,-26.56078,0.2791654,-40.98672,17.30144,,ACCELERATE
17.13322,6.673622,7.596731,6.294235,3.332848,-25.17804,0.2791618,-41.52966,17.40117,,LEFT_ACCELERATE
17.67273,6.240499,8.086644,5.827865,3.815235,-23.76621,0.2791615,-42.02905,17.50178,,LEFT_ACCELERATE
-1,6.169103,7.482318,5.364047,4.075717,-22.33699,0.2791794,-42.37671,17.60074,,LEFT_ACCELERATE
-1,6.652798,6.382831,5.10851,4.125482,-20.84584,0.2791988,-42.50858,17.70159,,LEFT_ACCELERATE
-1,7.552759,5.526227,5.17695,4.027378,-19.3803,0.2791874,-42.41982,17.80043,,LEFT_ACCELERATE
-1,8.452099,4.947454,5.412253,3.828679,-17.90783,0.279176,-42.20437,17.90042,,LEFT_ACCELERATE
-1,8.924856,4.605023,5.654954,3.594656,-16.40071,0.2791651,-41.97077,18.00283,,ACCELERATE
-1,9.238674,4.347978,5.856464,3.392755,-14.93031,0.2791629,-41.77039,18.10247,,ACCELERATE
-1,9.523388,4.114713,6.039102,3.209804,-13.4661,0.2791606,-41.58809,18.20153,,ACCELERATE
-1,9.486275,3.994802,6.18214,3.046118,-11.95847,0.2791626,-41.43483,18.30331,,RIGHT_ACCELERATE
-1,8.926059,4.166923,6.205146,2.996192,-10.49241,0.2791671,-41.39727,18.40187,,RIGHT_ACCELERATE
-1,8.734097,4.253437,6.184025,3.016014,-9.004607,0.2791621,-41.41664,18.50178,,ACCELERATE
-1,8.59822,4.272715,6.170338,3.029701,-7.524683,0.2791611,-41.42992,18.60114,,ACCELERATE
19.13429,8.381693,4.318475,6.162676,3.037366,-6.007882,0.2791595,-41.4374,18.70297,,ACCELERATE
17.64741,8.094498,4.521338,6.159306,3.040739,-4.529473,0.2791599,-41.44072,18.80222,,ACCELERATE
16.5843,7.868649,4.777039,6.155053,3.04292,-3.04514,0.2791585,-41.4211,18.90191,,LEFT_ACCELERATE
16.52301,7.946896,4.665821,6.18364,3.014306,-1.577177,0.2791697,-41.28521,19.00105,,LEFT_ACCELERATE
